	えぬいーえる	0
#本田とじゃんけん2020	ほんだとじゃんけんにせんにじゅう	1
#本田とカードバトル	ほんだとかーどばとる	0
#本田とコイントス	ほんだとこいんとす	0
#相模原ミリオンコラボ	さがみはらみりおんこらぼ	1
#神奈川に住んでるエルフ	かながわにすんでるえるふ	0
#私かわいい	わたしかわいい	1
#空帕斯	こんぱす	1
#第一回スパイス祭	だいいっかいすぱいすまつり	1
#第二回スパイス祭	だいにかいすぱいすまつり	1
#築田式 #田村式	ちくたしきたむらしき	0
#緋想天@ニコニコ	ひそうてんあっとにこにこ	0
#繚乱変態部屋	ひゃっかりょうらんへんたいべや	1
#自分の誕生日と同じ図鑑Noのポケモン	じぶんのたんじょうびとおなじずかんなんばーのぽけもん	0
#艦こけ	かんこけ	1
#藤崎空でググってみよー	ふじさきそらでぐぐってみよー	1
#読書好きしか正解できないクイズ	どくしょずきしかせいかいできないくいず	1
#資産運用	しさんうんよう	1
#超みんなのおすすめ曲リレー2020	はっしゅたぐちょうみんなのおすすめきょくりれーにせんにじゅう	1
#超飯テロ	はっしゅたぐちょうめしてろ	1
#遅ればせながら	おくればせながら	0
#魔女集会で会いましょう	はっしゅまじょしゅうかいであいましょう	1
#魚名当てクイズ	ぎょめいあてくいず	1
$	どるきごう	0
$=ふーた=$	ふうた	0
%	ぱーせんと	0
%ソミタナ	そみたな	0
&	あんぱさんど	0
& Knuckles	あんどなっくるず	1
&6allein	あんどしくすあれいん	0
&Knuckles	あんどなっくるず	0
&P	あんどぴー	0
&gt;&gt;301	さんびゃくいちへのれす	1
&lt;&gt;	やまかっこ	0
&lt;哲学&gt;	てつがく	1
&quot;hello!!&quot;	はろー	1
'&'-空の向こうで咲きますように-	あんどそらのむこうでさきますように	1
'00年	ぜろぜろねん	1
'01年	ぜろいちねん	1
'02年	ぜろにねん	1
'03年	ぜろさんねん	1
'04年	ぜろよねん	1
'05年	ぜろごねん	1
'06年	ぜろろくねん	1
'07年	ぜろななねん	1
'08@prilp2	ぜろはちえいぷりるぴーぴー	0
'08年	ぜろはちねん	1
'09年	ぜろきゅうねん	1
'10年	じゅうねん	1
'11年	じゅういちねん	1
'12年	じゅうにねん	1
'13年	じゅうさんねん	1
'14年	じゅうよねん	1
'15年	じゅうごねん	1
'16年	じゅうろくねん	1
'17年	じゅうななねん	1
'18年	じゅうはちねん	1
'19年	じゅうきゅうねん	1
'20年	にじゅうねん	1
'21年	にじゅういちねん	1
'22年	にじゅうにねん	1
'23年	にじゅうさんねん	1
'24年	にじゅうよねん	1
'25年	にじゅうごねん	1
'26年	にじゅうろくねん	1
'27年	にじゅうななねん	1
'28年	にじゅうはちねん	1
'29年	にじゅうきゅうねん	1
'30年	さんじゅうねん	1
'31年	さんじゅういちねん	1
'32年	さんじゅうにねん	1
'33年	さんじゅうさんねん	1
'34年	さんじゅうよねん	1
'35年	さんじゅうごねん	1
'36年	さんじゅうろくねん	1
'37年	さんじゅうななねん	1
'38年	さんじゅうはちねん	1
'96年	きゅうじゅうろくねん	1
'97年	きゅうじゅうしちねん	1
'98年	きゅうじゅうはちねん	1
'99年	きゅうじゅうきゅうねん	1
'karaiː	からいー	1
'ngirrthlu	にぎるとぅる	1
'介	かい	0
( (c ：; ]ミ	よこそんし	0
( *́ސު`*)どや	どや	0
( ;∀;)イイハナシダナー	いいはなしだなー	1
( ^ν^ )	にゅっ	1
( ^ω^)おっおっおっ	おっおっおっ	1
( ^ω^)ブーン四十八手	ぶーんよんじゅうはって	0
( ^ω^)朝だお	あさだお	1
( ´ﾟωﾟ｀)	がちぺどろりこん	0
( ˘ω˘)ｽﾔｧ	すやぁ	0
( ゚́д゚`)	さのすけ	1
( ́・ω・`)出荷よー	しゅっかよー	1
( ́鍋`)	なべしまとしふみ	1
( ͡° ͜ʖ ͡°)	れにーすまいる	0
( Θ)	くちばしたろう	0
( ՞ਊ ՞)☝	わたしなんばわーん	0
( ∵ )	もこ	0
( ◜◡̅)っ✂╰⋃╯	ちょきん	0
( て́・ω・`ふ)1	てふいち	1
( ゚ω゚ )	おことわりします	1
( ゚Д゚)るぃ	るい	0
( ゚∀゚)o彡°	おっぱいおっぱい	1
( ゚∀゚)o彡゚	おっぱいおっぱい	1
( 三 )	きょにゅう	0
( ；∀；)	いいはなしだなー	1
( ･｀ヮ･´)	ふるーつ	0
( ﾟ∀ﾟ)o彡°おっぱい!おっぱい!	おっぱいおっぱい	1
( ﾟ∀ﾟ)o彡゜おっぱい！おっぱい！	おっぱいおっぱい	0
( ﾟ∀ﾟ)o彡゜哲学！心理学！銀河系！	てつがくしんりがくぎんがけい	0
( ﾟ∀ﾟ)o彡ﾟえーりん！えーりん！	えーりんえーりん	1
( ﾟ∀ﾟ)o彡ﾟチャーハン!チャーハン!	ちゃーはんちゃーはん	0
( ﾟ∀ﾟ)o彡ﾟ入院！入院！はいはい入院！	にゅーいんにゅーいんはいはいにゅーいん	0
(#^ω^)ビキビキ	びきびき	0
(#̄ー̄)〇"グッ	ぐっ	0
('A`)	どくお	0
('A`)ｿﾉｰﾏｰﾏｰﾃﾞｲｲｰ	くらぴかそのーまーまーでいーいー	1
('A`)ﾀﾞｲｽｷﾀﾞﾖｰ	だいすきだよー	0
('A`)ﾓｦﾄｺ	もをとこ	0
('a`)の続・ダンマスまとめ	どくおのぞくだんますまとめ	0
('μ'n)みゅーん。	みゅーん	0
('ω')	ぬか	0
('ω`)シュウヘイ...	しゅうへい	1
('ω、	どくづきん	0
('・ω・`)	しょぼーん	1
((;゚Д゚))フン!?	ふんっ	0
()	かっこわらいなし	0
()笑	かっこわら	0
(* ,,Ծ‸Ծ,, )プー	ぷー	0
(*)	きく	0
(*>△<)	なーんなーん	1
(*>△<)<ナーンナーンっっ	なーんなーん	0
(*>△<)ナーン!ナーン!	なーんなーん	1
(*>△<)＜クショがーーーーーー！！！	くしょがーーーーーー	0
(*^ω^)近藤フッフゥー	こんどうふっふー	0
(*^○^*)	ぽじはめ	0
(*^◯^*)	ぽじはめ	1
(*`・∀・́*)o彡゚	めんとす	1
(*m*)	きゅうえむぜっと	1
(*´ω｀*)	はやらない	0
(*´ω｀*)のお絵カキコの一覧	はやらないのおえかきこのいちらん	0
(*´ω｀*)のニコニコ静画の一覧	はやらないのにこにこせいがのいちらん	0
(*ˎ ო ˏ*)	はやらない	1
(*́ω`*.)	はやる	1
(*́・ω・`)	どえむ	0
(*‘ω‘*)ちんぽっぽ	ちんぽっぽ	0
(*ゲωス*)	げすれほたて	0
(*・ω・)わおーんP	わおーんぴー	0
(*｀・∀・´*)	こちーや	1
(*ﾟ∀ﾟ)o彡ﾟﾐﾐﾐﾝ！ﾐﾐﾐﾝ！ｳｰｻﾐﾝ!!	めるへんでびゅー	0
(*ﾟ∀ﾟ)アハアハアッハッノヽ〜☆	あはあはあっはっは	1
(*ﾟ∀ﾟ)ノ萌げー☆	もげー	1
(*ﾟ∀ﾟ)ｱﾊｱ八アッ八ッノヽ〜☆	あはあはあっはっは	0
(*ﾟーﾟ)	しぃ	1
(+e+)	いおぽん	0
(+・○○○)	にこにこのえねこん	0
(,,#゚Д゚):∴;'・,;`:まんたーんドリンクっ!	まんたーんどりんくっ	1
(,,ﾟДﾟ)	ぎこ	1
(-3-)o彡゚でいだぶる!でいだぶる!	でいだぶる	1
(-ω-)	あすきーあーと	0
(-○-)	しんかんせん	0
(-人-)	ありがとう	0
(/・ω・)/うー!(」・ω・)」あー!	うーあー	0
(/・ω・)/にゃー!	にゃー	1
(0h0)	そんな	1
(0w0)	うぇい	1
(0∀0)	ふぉーう	1
(1)	かっことじるいち	1
(13)	かっこじゅうさん	0
(17)	かっこじゅうなな	1
(21)	ろり	0
(21)(21)ハンターズ!	ろりろりはんたーず	0
(9)	きゅう	1
(9)時代最後の神話	きゅうじだいさいごのしんわ	0
(:	すまいる	1
(:.;゜;●;゜;.:)	みじゅまる	0
(:3)三	くらげ	1
(::́┏┓`:)	だぶ	0
(:D)TL=3	めがうたいてかおもじ	1
(;^ω^)うわ、つまんね速報	うわつまんねそくほう	0
(;`・ω・)o━ヽ ｡ ・ ﾟ ・ フ))	ちゃーはんつくるよ	1
(;゚;ё;゚;`)	りゅうだんくん	0
(;゚д゚)!¬(・ω・́)ノ	ばっとうさい	1
(;・`д・́)...ゴクリ...(`・д́・;)	すめあごる	0
(<::v::>)	あふぉ	1
(<:v:>)	くさむ	1
(=́・ω・`= )	みししっ	1
(=ω=.)	こなた	0
(=ﾟωﾟ)ﾉぃょぅ	いよう	0
(>ω<)わふー！	わふー	0
(>ヮ<≡>ヮ<)コシコシコシ	こしこしこし	1
(>ワ<≡>ワ<)コシコシコシ	えろすのきこうしばくはつしろ	1
(@▽@)絶対選出!_パンダ祭り	ぱっちーるぜったいせんしゅつぱんだまつり	0
(A)テニス	かっこえーてにす	0
(C)ERO	しぇろ	0
(N)ine	ないん	0
(Re)	あーるいー	1
(Re)Nアニメ運営生放送	あーるいーえぬあにめうんえいなまほうそう	1
(Re:仮)	りかり	1
(V)o￥o(V)	ばるたんせいじん	1
(V)ζ*'ヮ')ζ(V)	やよかに	0
(V)・∀・(V)	かにぱん	0
(YEAH!)	いえー	0
([∂]ω[∂])おっおー	おっおー	0
([∩∩])<死にたいらしいな	それはあるたいるのせりふ	0
([∩∩])<殺してやるよ	ころしてやるよ	1
([∩∩])<遊びは終わりだ	あそびはおわりだ	1
(^^)	ふーん	0
(^o^)<うわぁーっ!	くそっこれでおれもおわりか	0
(^o^)|⌒|＿	おおとりちょうたろう	0
(^o^)笑顔同封(^o^)	えがおどうふう	1
(^o^≡^o^)ぴゃおおおおおおおおおおおおお	ぴゃおおおおおおおおおおおおお	0
(^o^三^o^)	るしふぇる	0
(^p^)	ちしょう	1
(^q^)	ちしょう	1
(^q^)くおえうえーーーるえうおおおｗｗｗ	くおえうえーるえうおおお	1
(^u^)	にーさん	1
(^ω)^	じぇねしす	0
(^ω^)おっおっおっ	おっおっおっ	0
(^ω^)ぴーひゃらら、ぴーひゃらら	ぴーひゃららぴーひゃらら	0
(^ω^)ペロペロ	ぺろぺろ	1
(^ω^)ミューラー	にこらすみゅーらー	0
(^ω^三^ω^)おっおー	おっおー	1
(^ิρ^ิ)	やまだ	0
(^皿^)(40歳)	すまいるよんじっさい	0
(`-< -́)<お前ら人間じゃねぇ!	おまえらにんげんじゃねぇ	1
(`0言0́*)<ヴェアアアアアアアア	ゔぇああああああああ	0
(`Д́)ワージッ!	わーじっ	1
(`≡△≡’)ﾀﾍﾞﾁｬｯﾀﾝﾃﾞｽﾖﾈ?	たべちゃったんですよね	0
(`・ω⊂)	ひいろのかお	1
(`・ω・́)ゝ	びしっ	0
(`・ω・́)ゞ頭	ぺこにゃん	1
(`・ω・́)山もりのくに	やまもりのくに	0
(`・д●)	しゃる	0
(`･ω(`･ω･´)ε・。)	きゅあさんにんしゅう	1
(c)	こぴーらいと	1
(e'ω'a)	えぐさひろたか	0
(eR)	いーあーる	1
(fly higher than) the stars	ふらいはいあーざんざすたーず	0
(i'm gonna eat you up!)	わたしはあなたをたべてやる	0
(i)	すじ	0
(j°δ∧δ)	ろーま	1
(k)	けい	0
(k)さん	けいさん	0
(ksk)	けーすけ	1
(nao)	なお	0
(non title)	のんたいとる	0
(o n)	おんちゃん	1
(o'ω'n)	おんちゃん	0
(o▽n)	おんちゃん	1
(o・∇・o)	あさくらもも	1
(o・∇・o)あいつばかだぞー	あいつばかだぞー	0
(o・∇・o)こいつばかだぞー	こいつばかだぞー	1
(product)red	ぷろだくとれっど	0
(ry	いかりゃく	0
(sao)アインクラッド編	あいんくらっど	1
(sao)フェアリィ・ダンス編	ふぇありぃだんす	1
(sm35895931)	えすえむさんごはちきゅうごきゅうさんいち	1
(sm36440133)	えすえむさんろくよんよんぜろいちさんさん	1
(tot)	てぃーおーてぃー	1
(u^ω^)<にしずみどのー	にしずみどのー	1
(umek)ルブジビンイ	るぶじびんい	0
(u憂ω`)	ゆう	1
(v)(-)(∞)(↑)(♥)	ひみつせんたいごれんじゃー	1
(v)ζ*'ヮ')ζ(v) 2011	やよかに	1
(v)ζ*'ヮ')ζ(v) 2012	やよかににせんじゅうに	1
(v)・¥・(v)	じゃりがに	1
(whew)	ふう	0
(¦3)三	くらげ	1
(¦3+<	ゆうがたすぎまでまたねてた	0
(´;ﾟ;ω;ﾟ;｀)	なみだめ	0
(´_ゝ｀)ﾇｰﾝ	ぬーん	0
(´_Ｊ｀)	みずはしかおり	1
(´ωｼﾞｬｲｰﾝ	じゃいーん	0
(´Д｀)<ｲｰﾔﾗｴｰｳｵｰｱﾗｱﾗｲｴｵｰｲｰﾔﾗｴｰｳｵ	ばいばいのてーま	0
(´Д｀)（すずき）	すずき	0
(´もω(+”)	もんげ	1
(´・,_,・`)	くす	1
(´・,_,・`)ｸｽ	くす	0
(´・ω・)カワイソラス	かわいそらす	1
(´・ω・)ｶﾜｲｿｽ	かわいそす	1
(´・ω・`)	しょぼーん	0
(´・ω・`)doni	どに	0
(´・ω・｀)らん豚	らんぶた	1
(´・ω・｀)ｼｮﾎﾞｰﾝ	しょぼーん	1
(´・∀・｀)	いけめん	0
(´・⋌⋚⋛⋋・`)	おでんくん	0
(´神｀)は言っている	じんはいっている	0
(´；ω；｀)	ぶわっ	0
(´；ω；｀).net	おっさんどっとねっと	0
(´；ω；｀)ブワッ	ぶわっ	1
(´；ω；｀)ｶﾜｲｿｽ	かわいそす	1
(´･ω･｀)知らんがな	しらんがな	0
(óv`o)	おぼ	0
(÷)	ごーま	0
(́A` )	どくお	1
(́ω`)<ないとうです	ないとうです	0
(́Д`)ハァ...ねみぃ	わこつ	0
(́∀`(⊃*⊂)	けつだし	0
(́◉‿◉`)	けんじさん	0
(́◉◞౪◟◉)	じょにー	0
(́◉◞౪◟◉)ハハハハハァ!	りちゃーどはもんど	1
(́◉◞౪◟◉‵)	じょにー	1
(́◔‿ゝ◔`)	どや	0
(́◦A゜)ふぁ?ふぁ?	ちょっとなにいってるかわからないです	0
(́・ε・`)	めんどくさい	0
(́・ω・)しょぼん	しょぼん	0
(́・ω・`)P	しょぼぴー	0
(́・ω・`)こん	しょぼんこん	0
(́・ω・`)じゃあっくぅ...	じゃあっくぅ	1
(́・ω・`)じゃあっくっ!	じゃあっくっ	0
(́・ω・`)やぁ	やぁ	1
(́・ω・`)ゆゆしきじたいですよ	ゆゆしきじたいですよ	0
(́・ω・`)ショボーン速報	しょぼーんそくほう	0
(́・ω・`)マラニョーン	まらにょーん	0
(́・ω・`)ヤフミちゃんねる	やふみちゃんねる	0
(́・ω・`三́・ω・`)	ひゅんひゅん	0
(́・∀・`;;;;)	へー	0
(́・・ω`)わんわんお	わんわんお	0
(́鍋`)	なべしまとしふみ	1
(̄3̄)の人	そしてはしらない	0
(̆ω̆)スヤァ	すやぁ	1
(̆ω̆)スヤァ...	すやぁ	1
(Θ)	くちばしたろう	1
(ββ)	べーたべーた	1
(γ)最終日スペシャル	がんまさいしゅうびすぺしゃる	0
(σ・∀・)σさっすがぁ〜	さっすがー	0
(σ回ω・)σ	りっかちゃん	1
(σ回ω・)σ←↖↑↗→↘↓↙←↖↑↗	ふっきりっか	0
(ω)	むふんまーく	0
(ωдω)	じぎる	0
(бεб)P	よめないぴー	0
(ю:】	じゃいあん	0
(՞ਊ՞)☝	わたしなんばわーん	1
(‘∀‘)ホワァ!!	ほわぁ	1
(’ワ’)<ざぶんぐるぅ〜♪	ざぶんぐるぅ	0
(’・ω・‘)	しょぼん	0
(∩ﾟ□ﾟ)ｳｫｰｳｫｰｳｫｰｳｫｰ	うぉーうぉーうぉーうぉー	1
(∪^ω^)	わんわんお	0
(∪^ω^)だおわんわん	だおわんわん	1
(∪^ω^)わんわんお	わんわんお	1
(∪^ω^)わんわんお!2ちゃんねるまとめ	わんわんおにちゃんねるまとめ	0
(∪^ω^)オガタくぅーん	おがたくぅーん	0
(∪́ω`)	いぬ	1
(∴)	はじゅん	0
(∵)	かおもじ	0
(∵){どうもこんにちは。の人	どうもこんにちわのひと	0
(∵)キョトンP	きょとんぴー	0
(≧Д≦)	んあっー	0
(⌒, ゝ⌒)人(・x・)人(^ー^)	うたうたいたち	0
(⌒,_ゝ⌒)	もこう	0
(⌒ĺ・▲・`l⌒)	どあら	1
(④⑥う+ゆう③)×②ンデレ×(か①ば+⑨りた)+京極③=	くわのみ	0
(┃▽┃)ぽっぽぽぽぽ	ぽっぽぽぽぽぽ	1
(╬0◞⊖◟0)	たけひこ	1
(╬☉д⊙)	ろり	0
(╬ﾟдﾟ)フーーーーーーーーーーン!!!!	ふーーーーーーーーーーん	0
(■*■)	おくちあなる	1
(▽ ▽)	す	0
(◇)	ずぇあ	0
(◇)人(∵)	はくめんあらくね	0
(◉◞౪◟◉)	じょにー	1
(◉◞౪◟◉`)	じょにー	0
(○^^()	もげてしまえ	0
(○╹ω╹○)	しろほっぺ	0
(◎)	かっこにじゅうまるかっことじる	1
(●)	ぱんておんのかお	0
(●w●)	うぉぅー	1
(●´―`●)	まきのだん	0
(●╹ω╹●)	くろほっぺ	0
(●▲●)	ねがけろ	0
(●▽●)	たに	0
(●・ω・●)	かお	0
(●ﾟ◇ﾟ●)	つばくろう	1
(◕‿‿◕)	きゅぅべえ	0
(◕‿‿◕)僕を右クリックして、コピーしてよ	きゅーびーぼくをみぎくりっくしてこぴーしてよ	0
(◕‿‿ゝ⌒)	もこべぇ	0
(◜◡̅)っ✂╰⋃╯	ちょきん	1
